브랜드,상호,가맹점수,신규개점,계약종료,계약해지,명의변경,가맹점평균매출액(매출액지수),가맹점면적당평균매출액
무쏘,(주)유엔아이에프씨,48,45,0,2,0,"598,163
(1.54)","12,519
(0.03)"
정통집,(주)진담에프앤비,48,48,0,0,0,"516,535
(1.33)","25,128
(0.06)"
일품양평해장국,(주)우분트,47,30,5,0,3,"190,830
(0.49)","6,836
(0.02)"
돌배기집,(주)더본코리아,47,4,0,16,4,"768,326
(1.98)","14,595
(0.04)"
육수당,(주)에이치디푸드,47,29,0,7,1,"257,509
(0.66)","9,060
(0.02)"
송주불냉면앤칼국수,(주)에스제이푸드시스템,46,11,0,3,0,"85,882
(0.22)","4,712
(0.01)"
쌀눈쌀 현미누룽지,(주)엄마,46,4,0,27,6,"15,656
(0.04)","2,486
(0.01)"
한옥마을전주비빔밥,(주)풍년에프씨,46,21,0,0,5,"270,745
(0.70)","16,165
(0.04)"
김영희동태찜&코다리냉면,(주)해피푸드,46,18,0,14,0,"273,333
(0.71)","7,576
(0.02)"
한가네숯불닭갈비,(주)한경코퍼레이션,46,9,7,0,1,"461,700
(1.19)","5,487
(0.01)"
잭아저씨족발&보쌈,(주)두레에프앤비,45,6,0,4,4,"295,250
(0.76)","17,508
(0.05)"
노걸대,(주)노걸대,45,7,0,17,5,"282,297
(0.73)","5,084
(0.01)"
개미집,(주)낙지볶음개미집,44,6,12,0,0,"0
(0.00)","0
(0.00)"
부산아지매국밥,(주)제이엘푸드,44,8,1,2,3,"439,685
(1.13)","17,591
(0.05)"
한모둠,(주)미라지식품,44,0,0,9,0,"332,937
(0.86)","7,351
(0.02)"
내담 대구탕 해물갈비찜,(주)씨에스에프씨,43,8,4,5,0,"84,190
(0.22)","2,371
(0.01)"
곱분이 곱창,(주)웰푸드컴퍼니,43,43,0,6,1,"408,759
(1.05)","26,300
(0.07)"
감동까스,푸드딜라이트,43,25,0,23,2,"199,696
(0.52)","11,339
(0.03)"
천사곱창,(주)식스텐비즈,42,21,1,1,0,"72,320
(0.19)","4,369
(0.01)"
김명자낙지마당,(주)김명자,42,8,27,0,0,"450,252
(1.16)","10,624
(0.03)"
망향비빔국수,블루밀,42,13,0,1,1,"524,229
(1.35)","9,312
(0.02)"
계경순대국,지강에프앤비(주),42,9,0,7,0,"302,623
(0.78)","47,750
(0.12)"
아부찌부대찌개,아부찌,41,30,0,1,0,"169,735
(0.44)","19,779
(0.05)"
호수꼬치,(주)호수코리아,41,22,0,5,3,"190,173
(0.49)","11,652
(0.03)"
밥장인돼지찌개,(주)밥장인,41,19,0,8,1,"250,017
(0.65)","16,956
(0.04)"
예향정,"(주)디케이코리아(D.KKOREACo.,LTD)",41,2,0,7,6,"425,277
(1.10)","9,214
(0.02)"
존슨부대찌개,(주)존슨푸드코리아,41,8,0,4,2,"198,950
(0.51)","22,466
(0.06)"
춘향골남원추어탕,(주)춘향골,40,1,0,2,0,"421,453
(1.09)","10,020
(0.03)"
나능이,유정티앤에프(주),40,7,0,0,0,"593,765
(1.53)","10,967
(0.03)"
