브랜드,상호,가맹점수,신규개점,계약종료,계약해지,명의변경,가맹점평균매출액(매출액지수),가맹점면적당평균매출액
피니치니,(주)그린푸드존,8,1,2,2,0,"101,271
(0.52)","5,671
(0.03)"
바비후,(주)내일,8,1,1,0,0,"348,528
(1.81)","6,648
(0.03)"
필바든치킨,필푸드,8,0,0,3,0,"137,979
(0.71)","7,612
(0.04)"
그시절옛날통닭,남선씨엔델리,8,0,1,0,0,"68,750
(0.36)","3,716
(0.02)"
치킨이남달라,(주)더기발한,8,5,0,1,0,"368,766
(1.91)","11,502
(0.06)"
엔칙스치킨,(주)지오에프엔비,8,8,0,0,0,"0
(0.00)","0
(0.00)"
호호닭발,(주)제이앤엠푸드,8,1,1,0,0,"273,990
(1.42)","9,402
(0.05)"
닭에꼬치닭,(주)어니스트브로,8,8,0,0,0,"0
(0.00)","0
(0.00)"
김종용누룽지통닭,(주)유앤아이레시피,8,5,0,0,0,"401,812
(2.08)","11,161
(0.06)"
콩닥콩닭,케이디유통,8,0,0,1,0,"129,107
(0.67)","7,890
(0.04)"
독가마 숯불치킨,나라푸드서비스,7,4,0,1,0,"78,968
(0.41)","2,942
(0.02)"
아이커버거&치킨,아이커유통,7,7,0,0,0,"0
(0.00)","0
(0.00)"
파리에 다녀온 치킨,늘품에프앤씨,7,7,0,0,0,"0
(0.00)","0
(0.00)"
치킨시대,(주)시대푸드,7,2,0,3,0,"0
(0.00)","0
(0.00)"
칠칠켄터키,(주)무진,7,2,0,0,0,"461,980
(2.39)","10,798
(0.06)"
다코기,DAKOGI(다코기),7,2,0,0,0,"396,993
(2.06)","22,098
(0.11)"
치킨커플,(주)비엘앤에프,7,0,5,0,0,"161,826
(0.84)","5,477
(0.03)"
신화불닭발,(주)신화림스,7,7,0,0,0,"0
(0.00)","0
(0.00)"
영 아맛나,아맛나찜닭분식야식,7,1,0,0,1,"130,303
(0.68)","14,214
(0.07)"
꼬꼬팜,포맨에프엔씨,7,1,0,0,1,"90,188
(0.47)","7,220
(0.04)"
1987금빛통닭,(주)금빛컴퍼니,7,0,0,4,0,"173,714
(0.90)","10,133
(0.05)"
서개미치킨,개미치킨,6,1,0,0,2,"114,396
(0.59)","3,670
(0.02)"
신동키닭,(주)돈키오태,6,6,0,0,0,"0
(0.00)","0
(0.00)"
달닭,(주)참여텍,6,0,0,0,0,"46,131
(0.24)","4,613
(0.02)"
치킨선수,(주)치킨선수,6,5,1,0,0,"151,896
(0.79)","5,463
(0.03)"
해뜰닭,푸드삼성,6,3,0,1,0,"39,164
(0.20)","4,602
(0.02)"
엠에프씨 멕시칸치킨(MFC 멕시칸치킨),나루에프엔비(나루F&B),6,1,0,2,0,"130,494
(0.68)","7,817
(0.04)"
치킨연구소,치킨연구소,6,0,0,6,0,"52,041
(0.27)","4,041
(0.02)"
오마이치킨,(주)이수푸드빌,6,0,0,1,0,"0
(0.00)","0
(0.00)"
국민마늘치킨,국민마늘치킨본부,6,6,0,0,0,"0
(0.00)","0
(0.00)"
꾼닭(koondak),(주)일이축산푸드,6,0,1,0,0,"172,263
(0.89)","4,398
(0.02)"
로타리치킨상회,(주)생활에프앤비,6,6,0,0,0,"206,032
(1.07)","12,877
(0.07)"
문진옥숯불바베큐치킨,문진옥숯불바베큐치킨,6,3,0,0,0,"136,905
(0.71)","8,801
(0.05)"
본가옛날통닭,본가옛날통닭,6,0,0,1,0,"189,107
(0.98)","9,077
(0.05)"
닭갈비클라쓰,(주)필드키친,6,6,0,0,0,"0
(0.00)","0
(0.00)"
오후엔치킨,태현에프씨(주),5,0,0,3,0,"171,980
(0.89)","9,922
(0.05)"
토닭토닭양념치킨,대흥유통,5,0,0,0,1,"72,468
(0.38)","5,490
(0.03)"
치킨버스,(주)푸드버스,5,1,0,2,0,"329,287
(1.71)","13,753
(0.07)"
치특,치특,5,5,0,0,0,"105,287
(0.55)","5,080
(0.03)"
꿀딱,(주)케이원푸드,5,1,1,0,0,"134,707
(0.70)","9,133
(0.05)"
치킨더비,(주)치킨더비,5,0,4,2,0,"280,200
(1.45)","6,461
(0.03)"
김삿갓통닭,(주)공감,5,4,0,0,0,"0
(0.00)","0
(0.00)"
울통치킨,더블유(W)-푸드,5,2,0,0,0,"279,924
(1.45)","11,786
(0.06)"
농부치킨,(주)참이맛,5,1,0,1,0,"0
(0.00)","0
(0.00)"
숯양두마리치킨,다온푸드,5,1,1,0,0,"201,326
(1.04)","14,177
(0.07)"
신진통닭,(주)신진푸드,5,5,0,0,0,"477,172
(2.47)","17,826
(0.09)"
비에프씨치킨(B.F.C치킨),승우유통,5,1,0,0,0,"0
(0.00)","0
(0.00)"
닭집에떡볶이,(주)씨앤푸드스토리,5,4,0,0,0,"0
(0.00)","0
(0.00)"
솥뚜껑바베큐통닭,(주)시원전설의푸드,5,5,0,0,0,"0
(0.00)","0
(0.00)"
달감치킨,세아씨앤푸드,4,0,0,0,0,"0
(0.00)","0
(0.00)"
행복치킨,(주)행복드림,4,0,0,0,2,"0
(0.00)","0
(0.00)"
안성파닭,코리아종합식품(주),4,1,0,0,0,"0
(0.00)","0
(0.00)"
치킨런,(주)티에스컴퍼니,4,0,0,0,0,"0
(0.00)","0
(0.00)"
치킨리그,㈜이노텍씨엔에스홀딩스,4,3,0,1,0,"0
(0.00)","0
(0.00)"
치킨퐁237,(주)비어프랜드,4,4,0,0,0,"0
(0.00)","0
(0.00)"
국민맥주,(주)쭈노에프앤비,4,2,0,2,1,"0
(0.00)","0
(0.00)"
일일치킨(11CHICKEN),(주)브랜드그라운드,4,4,0,0,0,"0
(0.00)","0
(0.00)"
달&달치킨,달&달치킨,4,2,0,1,0,"0
(0.00)","0
(0.00)"
마녀치킨,(주)조광식품,4,1,1,0,0,"0
(0.00)","0
(0.00)"
계복치,단아한푸드,4,1,0,0,0,"0
(0.00)","0
(0.00)"
가마꿉,(주)그남자네식품,4,4,0,0,0,"0
(0.00)","0
(0.00)"
윙글,(주)에스와이네트웍스,4,0,0,0,0,"0
(0.00)","0
(0.00)"
