브랜드,상호,가맹점수,신규개점,계약종료,계약해지,명의변경,가맹점평균매출액(매출액지수),가맹점면적당평균매출액
훗스테이크,디티푸드,0,0,0,0,0,"0
(0.00)","0
(0.00)"
바로쿡스파게티스토리,(주)바로쿡닷컴,0,0,0,0,0,"0
(0.00)","0
(0.00)"
오 이탈리안,오이탈리안,0,0,0,0,0,"0
(0.00)","0
(0.00)"
바로쿡스파게티스토리,(주)바로쿡닷컴,0,0,0,0,0,"0
(0.00)","0
(0.00)"
뮤토랍스타,(주)뮤토트레이딩,0,0,0,0,0,"0
(0.00)","0
(0.00)"
인생돈가스,인생돈가스,0,0,0,0,0,"0
(0.00)","0
(0.00)"
미쿡식당,푸드리퍼블릭코리아(유),0,0,0,0,0,"0
(0.00)","0
(0.00)"
왓츠피데,(주)왓츠피데,0,0,0,0,0,"0
(0.00)","0
(0.00)"
후쿠오카함바그,푸드리퍼블릭코리아(유),0,0,0,0,0,"0
(0.00)","0
(0.00)"
보나베띠,(주)꼬레뱅,0,0,0,0,0,"0
(0.00)","0
(0.00)"
보나베띠,(주)보나베띠,0,0,0,0,0,"0
(0.00)","0
(0.00)"
스푼스토리,(주)숟가락이야기,0,0,0,0,0,"0
(0.00)","0
(0.00)"
셰프리푸드트럭,(주)프렌즈리,0,0,0,0,0,"0
(0.00)","0
(0.00)"
더블글라스(DOUBLE GLASS),(주)와이엔알,0,0,0,0,0,"0
(0.00)","0
(0.00)"
돈카츠마켙,돈카츠마켙,0,0,0,0,0,"0
(0.00)","0
(0.00)"
스떼이끄300g,(주)푸디아,0,0,0,0,0,"0
(0.00)","0
(0.00)"
정씨함박,정씨함박에프앤비,0,0,0,0,0,"0
(0.00)","0
(0.00)"
코레아경양식,상도알앤디(R&D),0,0,0,0,0,"0
(0.00)","0
(0.00)"
리또르,(주)이밥스,0,0,0,0,0,"0
(0.00)","0
(0.00)"
셰프런(Chef Run),(주)네이버후드,0,0,0,0,0,"0
(0.00)","0
(0.00)"
일마레카페앤파스타,(주)일마레카페앤파스타,0,0,0,0,0,"0
(0.00)","0
(0.00)"
돈까스 BROS,브로스에프앤비,0,0,0,0,0,"0
(0.00)","0
(0.00)"
온정생돈까스,온정돈까스,0,0,0,0,0,"0
(0.00)","0
(0.00)"
반미리,반미리(BanhmiLee),0,0,0,0,0,"0
(0.00)","0
(0.00)"
CRAZY(크레이지),(주)씨비아이,0,0,0,0,0,"0
(0.00)","0
(0.00)"
착한파스타,㈜착한에프앤비,0,0,0,0,0,"0
(0.00)","0
(0.00)"
코브라피자&파스타(cobra pizza&pasta),"(주)블랙드래곤푸드빌(BLACKDRAGONFOODVILLE,Inc.)",0,0,0,0,0,"0
(0.00)","0
(0.00)"
파스타라굿찌,그레야마더지,0,0,0,0,0,"0
(0.00)","0
(0.00)"
에그베리11(eggberry11),(주)이루라퍼시픽,0,0,0,0,0,"0
(0.00)","0
(0.00)"
미트볼라운지,(주)더에이그룹,0,0,0,0,0,"0
(0.00)","0
(0.00)"
2046팬스테이크,(주)2046팬스테이크,0,0,0,0,0,"0
(0.00)","0
(0.00)"
파스타입니다,웨스턴하우스,0,0,0,0,0,"0
(0.00)","0
(0.00)"
피맥당,피맥당,0,0,0,0,0,"0
(0.00)","0
(0.00)"
