브랜드,상호,가맹점수,신규개점,계약종료,계약해지,명의변경,가맹점평균매출액(매출액지수),가맹점면적당평균매출액
이제마스터디카페,제로쉐도우(주),5,5,0,0,0,"0
(0.00)","0
(0.00)"
코인락스타노래연습장,(주)라이온에프지,5,0,0,0,0,"0
(0.00)","0
(0.00)"
스타간판,스타간판,4,4,0,2,0,"0
(0.00)","0
(0.00)"
더놀다,슬라임더놀다,4,2,0,0,0,"0
(0.00)","0
(0.00)"
슈퍼스타트,(주)슈퍼스타트,4,0,0,0,0,"0
(0.00)","0
(0.00)"
내맘엔심리상담,(주)마인드엔(MindN),4,1,0,1,0,"0
(0.00)","0
(0.00)"
해피베이비,(주)해피비즈라이프,4,2,0,1,0,"0
(0.00)","0
(0.00)"
버그헌터119,버그헌터119,4,2,0,0,0,"0
(0.00)","0
(0.00)"
지투존(G2ZONE),(주)글로벌이노베이션,4,1,0,3,0,"0
(0.00)","0
(0.00)"
바로연,(주)바로연결혼정보,4,0,0,0,0,"0
(0.00)","0
(0.00)"
오감키즈카페 꼼지락,꼼지락,4,0,0,0,0,"0
(0.00)","0
(0.00)"
이스케이프탑,(주)이스케이프탑,4,2,0,0,0,"0
(0.00)","0
(0.00)"
왁싱랩,왁싱랩코리아,4,2,0,0,0,"0
(0.00)","0
(0.00)"
탑플라이트 스터디카페,탑플라이트(주),3,2,0,0,0,"0
(0.00)","0
(0.00)"
비지팅엔젤스 주야간보호,(주)비지팅엔젤스코리아,3,0,0,0,0,"0
(0.00)","0
(0.00)"
빚다도예공방,빚다,3,0,0,0,0,"0
(0.00)","0
(0.00)"
힐링엔젤스,(주)에이치에이엔,3,3,0,0,0,"0
(0.00)","0
(0.00)"
나노플렉스(Nanoflex),(주)오픈코리아,3,3,0,0,0,"0
(0.00)","0
(0.00)"
스터디박스,집중스터디카페,3,3,0,0,0,"0
(0.00)","0
(0.00)"
포니모니뮤지컬,(주)포니모니뮤직,3,1,0,0,0,"0
(0.00)","0
(0.00)"
수파두파,투플레이컴퍼니(주),3,0,0,2,0,"0
(0.00)","0
(0.00)"
우리함께 주간보호센터,(주)마이아이덴티티,3,3,0,0,0,"0
(0.00)","0
(0.00)"
골든스터디카페,(주)에이치제이리치컴퍼니,3,2,0,0,0,"0
(0.00)","0
(0.00)"
리게인스터디카페,(주)함백아이엔씨,3,3,0,0,0,"0
(0.00)","0
(0.00)"
코인몬스터,(주)맥스원이링크,3,3,0,0,0,"0
(0.00)","0
(0.00)"
하운스스터디카페,하운스스터디카페가맹본부,2,2,0,0,0,"0
(0.00)","0
(0.00)"
휴렉(HULEC),(주)휴렉,2,0,0,1,0,"0
(0.00)","0
(0.00)"
뮤피아,(주)뮤피아엔터테인먼트,2,1,0,0,0,"0
(0.00)","0
(0.00)"
더라이브러리 The Library,(주)더라이브러리,2,2,0,0,0,"0
(0.00)","0
(0.00)"
아리아케어 주야간보호센터,(주)아리아케어코리아,2,2,0,0,0,"0
(0.00)","0
(0.00)"
성수미술관,성수미술관,2,2,0,0,0,"0
(0.00)","0
(0.00)"
아리아케어 주야간보호센터,(주)아리아케어코리아,2,2,0,0,0,"0
(0.00)","0
(0.00)"
유해피심리상담센타,유해피,2,0,0,0,0,"0
(0.00)","0
(0.00)"
아리아케어 주야간보호센터,(주)아리아케어코리아,2,2,0,0,0,"0
(0.00)","0
(0.00)"
모혜성산후도우미,(주)모혜성,2,0,0,0,0,"0
(0.00)","0
(0.00)"
HR인(에이치알인),(주)에이치알심리상담센터,2,2,0,0,0,"0
(0.00)","0
(0.00)"
봄소리산후도우미,봄소리산후도우미,2,0,0,0,0,"0
(0.00)","0
(0.00)"
예찬365일데이케어,예찬아이엔씨,2,1,0,0,0,"0
(0.00)","0
(0.00)"
아리아케어 주야간보호센터,(주)아리아케어코리아,2,2,0,0,0,"0
(0.00)","0
(0.00)"
캔두스터디카페,캔두스터디카페가맹사업점,1,1,0,0,0,"0
(0.00)","0
(0.00)"
작심스페이스,(주)아이엔지스토리,1,0,0,0,0,"0
(0.00)","0
(0.00)"
독고,(주)한음,0,0,0,0,0,"0
(0.00)","0
(0.00)"
심쿵피어싱,심쿵피어싱,0,0,0,0,0,"0
(0.00)","0
(0.00)"
아침의 부엌,아침의부엌,0,0,0,0,0,"0
(0.00)","0
(0.00)"
플랜에이치헤어,플랜에이치,0,0,0,0,0,"0
(0.00)","0
(0.00)"
십리향,풍(십리향),0,0,0,0,0,"0
(0.00)","0
(0.00)"
프린트카페(Print cafe),(주)잉크와오피스,0,0,0,0,0,"0
(0.00)","0
(0.00)"
엠브레스 마인드 심리상담센터,(주)엠브레스심리연구소,0,0,0,0,0,"0
(0.00)","0
(0.00)"
아리랑아구찜,에이와이푸드,0,0,0,0,0,"0
(0.00)","0
(0.00)"
리틀 뮤아센,(주)아임갤러리,0,0,0,0,0,"0
(0.00)","0
(0.00)"
벌레잡는 총각들,(주)벌레잡는총각들,0,0,0,0,0,"0
(0.00)","0
(0.00)"
솔로크린(solo clean),위드프랜차이즈,0,0,0,0,0,"0
(0.00)","0
(0.00)"
우리두리아동발달센터,우리두리아동발달센터,0,0,0,0,0,"0
(0.00)","0
(0.00)"
아띠,아띠,0,0,0,0,0,"0
(0.00)","0
(0.00)"
빨간거 짱구네 하얀거,레시피랩짱구,0,0,0,0,0,"0
(0.00)","0
(0.00)"
타다,브이씨엔씨(주),0,0,0,0,0,"0
(0.00)","0
(0.00)"
컴앤픽스,인터베이스,0,0,0,0,0,"0
(0.00)","0
(0.00)"
오리진스터디카페24,(주)선디자인팩토리,0,0,0,0,0,"0
(0.00)","0
(0.00)"
점프노리키즈카페,(주)아이윈엔터프라이즈,0,0,0,0,0,"0
(0.00)","0
(0.00)"
리 에스테틱,리에스테틱&스파,0,0,0,0,0,"0
(0.00)","0
(0.00)"
바소카페,바소,0,0,0,0,0,"0
(0.00)","0
(0.00)"
골프N커스텀,(주)커스텀엑스,0,0,0,0,0,"0
(0.00)","0
(0.00)"
온맘터치요양원,온맘터치협동조합,0,0,0,0,0,"0
(0.00)","0
(0.00)"
허그맘허그인,(주)허그맘허그인심리상담센터,0,0,0,0,0,"0
(0.00)","0
(0.00)"
셀프와인,(주)정우인터내셔널,0,0,0,0,0,"0
(0.00)","0
(0.00)"
에이지너리14,(주)심플맨,0,0,0,0,0,"0
(0.00)","0
(0.00)"
하나방역,하나방역,0,0,0,0,0,"0
(0.00)","0
(0.00)"
와이드스터디카페,와이드스터디카페,0,0,0,0,0,"0
(0.00)","0
(0.00)"
히어로키즈파크,(주)히어로키즈파크,0,0,0,0,0,"0
(0.00)","0
(0.00)"
스페이스 샘,샘랩(주),0,0,0,0,0,"0
(0.00)","0
(0.00)"
스터디 위드,(주)위드,0,0,0,0,0,"0
(0.00)","0
(0.00)"
머큐어(Mercure),(주)에이에이호텔매니지먼트,0,0,0,0,0,"0
(0.00)","0
(0.00)"
아하데이스파(AHA DAY S.P.A.),(주)아하웰니스,0,0,0,0,0,"0
(0.00)","0
(0.00)"
쇼쿠지,(주)이움,0,0,0,0,0,"0
(0.00)","0
(0.00)"
따르릉,(주)따르릉통신,0,0,0,0,0,"0
(0.00)","0
(0.00)"
에이치모바일,(주)에이치,0,0,0,0,0,"0
(0.00)","0
(0.00)"
다다르다,(주)다다르다,0,0,0,0,0,"0
(0.00)","0
(0.00)"
바콤119,(주)바콤,0,0,0,0,0,"0
(0.00)","0
(0.00)"
토즈스터디카페,(주)피투피시스템즈,0,0,0,0,0,"0
(0.00)","0
(0.00)"
HENZ music studio(헨즈뮤직스튜디오),헨즈(HENZ),0,0,0,0,0,"0
(0.00)","0
(0.00)"
큐룸,상생,0,0,0,0,0,"0
(0.00)","0
(0.00)"
휴먼디자인,에이치디건설협동조합,0,0,0,0,0,"0
(0.00)","0
(0.00)"
반딧불이 홈케어 서비스,(주)이지코퍼레이션,0,0,0,0,0,"0
(0.00)","0
(0.00)"
푼양이김치찌개,피와이아이푸드,0,0,0,0,0,"0
(0.00)","0
(0.00)"
배달커피,(주)비디컴퍼니,0,0,0,0,0,"0
(0.00)","0
(0.00)"
마더앤베이비,웰니스인텔리전스(주),0,0,0,0,0,"0
(0.00)","0
(0.00)"
더베스트,㈜더베스트,0,0,0,0,0,"0
(0.00)","0
(0.00)"
