업종(대),업종(중),상호,매출액,매출액증가율
외식,,(주)댓짱돈까스,"1,165,031",7.96%
외식,,(주)쭈노에프앤비,"1,155,967",-14.33%
외식,,(주)네모비앤에프,"1,155,062",25.78%
외식,,(주)제이투케이에프앤비,"1,153,372",166.82%
외식,,(주)제이투케이에프앤비(J2KF&B),"1,153,372",166.82%
외식,,(주)준인터(JunInter),"1,152,130",산출불가
외식,,(주)명랑식품,"1,150,300",1.17%
외식,,(주)신사의품격,"1,149,766",33.99%
외식,,(주)이노에프앤에스,"1,146,052",37.85%
외식,,(유)동서네낙지본점,"1,141,338",341.22%
외식,,우수한형제들,"1,134,219",산출불가
외식,,(주)해오름에프에스,"1,132,649",-13.36%
외식,,(주)효모로,"1,120,779",26.58%
외식,,(유)케이앤에스오로지,"1,116,429",706.47%
외식,,(주)밥장인,"1,112,019",-10.38%
외식,,(주)더드림에프에스,"1,101,302",-9.94%
외식,,(주)행복을만드는사람들,"1,097,437",산출불가
외식,,팔꾸이,"1,088,305",18.33%
외식,,(주)에스앤에스숨,"1,060,323","1,191.00%"
외식,,원영미트,"1,053,443",223.15%
외식,,가리본가본점,"1,053,217",-8.43%
외식,,(유)도도랑,"1,052,904",2.53%
외식,,약선당(주),"1,029,601",190.16%
외식,,피플스컴퍼니,"1,023,299",18.15%
외식,,예스람,"1,015,294",19.64%
외식,,에스엠푸드,"1,010,344",11.83%
외식,,비투에스(주),"992,912",13.67%
외식,,바다사랑본점,"991,082",-3.49%
외식,,(주)그린아일랜드,"987,646",25.54%
외식,,지환이네왕족발,"984,717",8.41%
외식,,(주)명사에프엠,"975,589",-27.33%
외식,,육마니(주),"971,788",9.53%
외식,,엘푸드,"969,417",65.27%
외식,,(주)담미온에프앤비,"958,860",37.41%
외식,,(주)엄마,"951,459",-32.72%
외식,,(주)만권,"945,255",-9.78%
외식,,진원소우,"936,119",산출불가
외식,,(주)서울편백찜,"929,452",6.44%
외식,,더나은푸드,"926,647",65.88%
외식,,T/H푸드,"919,588",산출불가
외식,,(주)백미에프에스티,"912,790",304.89%
외식,,통큰푸드,"910,403",산출불가
외식,,농업회사법인(주)태영에프앤씨,"907,985",23.18%
외식,,(주)마음을담은,"900,052",476.72%
외식,,(주)비앤비몬스터푸드,"899,607",375.18%
외식,,(주)조은음식드림,"896,806",20.91%
외식,,제이에스푸드(JS푸드),"896,133",10.20%
외식,,(주)티.케이.피,"895,605",215.39%
외식,,서서방숯불닭갈비,"885,126",산출불가
외식,,(주)휴림,"881,142",-2.70%
외식,,(주)어나더푸드컬쳐,"876,545",26.44%
외식,,영농조합법인소생로컬푸드,"875,112",13.32%
외식,,마린보이유통,"874,481",산출불가
외식,,계산씨케이,"873,350",25.15%
외식,,소소린(주),"869,740",355.26%
외식,,(주)단골손님,"860,813",산출불가
외식,,(주)미래에프씨,"860,459",-12.26%
외식,,(주)한교방,"857,116",7.04%
외식,,돈더미,"855,581",산출불가
외식,,(주)다함컴퍼니,"853,858",-36.27%
외식,,(주)교동,"853,749",-0.60%
외식,,(주)아람푸드,"853,344",산출불가
외식,,(주)평규술집,"844,954",산출불가
외식,,㈜해우리홀딩스,"839,180",89.97%
외식,,(주)디에이치푸드,"829,555",-4.32%
외식,,명태정가,"826,285",43.19%
외식,,속초네어장본점,"819,943",-9.69%
외식,,프론티어F&B,"814,755",산출불가
외식,,(주)썬푸드,"801,587",-4.90%
외식,,㈜바로푸드,"791,810",산출불가
외식,,(주)해살이뜰,"790,446",3.30%
외식,,돈불,"788,593",82.36%
외식,,(주)청년에프앤비,"779,823",129.30%
외식,,이을감자탕봉덕점,"776,586",8.64%
외식,,(주)우용에프앤비,"770,421",-18.94%
외식,,코아FS,"766,394",-10.08%
외식,,(주)열한시오십분,"766,342",501.88%
외식,,(주)미스터쿡,"766,135",-22.00%
외식,,순례국밥,"764,243",79.24%
외식,,(주)소우주앤파트너스,"761,955",107.72%
외식,,(주)에이컨,"749,438",476.62%
외식,,마중물추어탕,"747,240",15.87%
외식,,(주)남도애꽃,"743,740",-33.91%
외식,,농업회사법인유한회사신가네,"743,155",43.79%
외식,,한올식품(주),"741,528",81.19%
외식,,(주)코다,"739,780",-10.66%
외식,,유정티앤에프(주),"738,665",109.48%
외식,,(주)성북동이야기,"736,147",18.27%
외식,,가온,"729,288",산출불가
외식,,마시기통차,"729,067",12.59%
외식,,화꾸소흑도새기,"726,291",15.02%
외식,,(주)드림위드에프씨,"722,954",산출불가
외식,,동방축산,"719,420",51.01%
외식,,제니스푸드시스템,"716,419",-17.65%
