브랜드,상호,창업비용
아토즈캠핑,(주)아토즈플랜,"156,420
(1.12)"
PLAIN BRAND(플레인브랜드),(주)플레인브랜드리테일,"155,590
(1.12)"
달밤에체조,더블유제이커머스(주),"150,350
(1.08)"
롯데칠성음료,롯데칠성음료(주),"150,300
(1.08)"
아이스테이션,(주)토마토디앤씨,"149,500
(1.07)"
아프로디테코리아,(주)아프로디테코리아,"148,000
(1.06)"
엄마노리,엄마노리,"143,600
(1.03)"
모나미스테이션,(주)모나미,"142,450
(1.02)"
텐바이텐,(주)텐바이텐,"140,840
(1.01)"
모셀두피항노화센터,(주)모셀,"139,800
(1.00)"
온맘터치 복지용구,온맘터치협동조합,"137,500
(0.99)"
썰다,썰다,"135,200
(0.97)"
오피스웨이,(주)오피스디포코리아,"131,500
(0.94)"
오피스웨이,㈜오피스디포코리아,"131,500
(0.94)"
망고케이스,비욘드텔레콤(주),"127,050
(0.91)"
푸른아이웨어,(주)푸른아이웨어,"127,050
(0.91)"
캠핑트렁크,(주)더캠트,"122,870
(0.88)"
내추럴하우스바이올가,(주)올가홀푸드,"119,703
(0.86)"
링플레이트(Ring Plate),링플레이트,"118,800
(0.85)"
후레쉬영,(주)훌랄라,"118,600
(0.85)"
토이아울렛,(주)포유키즈,"116,700
(0.84)"
미니스피어싱,(주)엠케이스페스,"112,650
(0.81)"
나나니스캔디,스윗드림,"109,920
(0.79)"
밀레쥬(Mille Zoo),(주)밀레펫,"109,000
(0.78)"
De:pado,(주)용감한친구들,"105,500
(0.76)"
링코,(주)링코제일,"104,900
(0.75)"
생채움,(주)에스앤푸드,"103,300
(0.74)"
핑거네일투고,(주)핑거네일투고,"102,850
(0.74)"
아로마갤러리,대원아로마,"102,400
(0.73)"
펫월드,(주)AL네트웍스,"101,850
(0.73)"
케이앤에스(KNS),(주)케이앤에스,"99,610
(0.71)"
레드망고,릴레이인터내셔널(주),"99,600
(0.71)"
YANKEE CANDLE(양키캔들),(주)아로마무역,"98,510
(0.71)"
버드소리,(주)바름,"97,100
(0.70)"
MK,(주)엠케이,"96,315
(0.69)"
장독대,장독대(주),"96,300
(0.69)"
캠핑고래,(주)캠핑고래,"95,200
(0.68)"
신선한 포크,농업회사법인㈜피드앤,"94,500
(0.68)"
정갈한찬,정갈한찬,"94,100
(0.67)"
LIBERTE(리베흐테),리베흐테(Liberte),"94,050
(0.67)"
캔들나무,(주)홍일,"92,999
(0.67)"
닭찬들마켓,(주)유익상사,"92,555
(0.66)"
닭찬들마켓,(주)모하계,"92,555
(0.66)"
마켓올닭,(주)계발자들,"89,150
(0.64)"
오피스큐(OFFICEQ),(주)오피스큐,"88,530
(0.63)"
맘앤팜,(주)지엔에스엠엔에프,"86,150
(0.62)"
지구별함께가게,함께하는그날협동조합,"84,402
(0.61)"
쉐프엠,(주)엠디에스코리아,"83,100
(0.60)"
슈올즈,(주)슈올즈,"82,080
(0.59)"
고스락,고스락(주),"82,000
(0.59)"
한상드림,농업회사법인(주)다온프레쉬,"81,650
(0.59)"
에이아이쿡,(주)에이아이비트,"81,100
(0.58)"
수미찬,수미찬F&B,"80,800
(0.58)"
이원건강의료기,(주)이원건강의료기,"80,400
(0.58)"
느린수제우유,느린우유협동조합,"79,000
(0.57)"
델리퀸,(주)델리퀸,"77,452
(0.56)"
비비히어링,비비소비자(협),"76,700
(0.55)"
꿈꾸는방,(주)더아쿠아,"76,680
(0.55)"
