업종(대),업종(중),브랜드,상호,가맹사업 개시일,가맹사업 년수
,,쉴드샵,쉴드샵,2018-12-03,2년  0개월
,,골드엠,골드엠,2018-12-01,2년  0개월
,,지족스(G'ZOX),오토앤(주),2017-03-09,3년  9개월
,,덱스워시,(주)덱스크루,2019-03-01,1년  9개월
,,디테일링(detailing),오토앤(주),2015-11-26,5년  1개월
,,카메오랩,삼정카메오,2019-05-01,1년  7개월
,,Circle AUTO TAG,(주)나인서클코리아,--,0년  0개월
,,스팀크루,스팀크루본부,2020-06-01,0년  6개월
,,쌍둥이출장세차,대구쌍둥이밧데리본점,--,0년  0개월
,,스팀보이게러지,(주)스팀보이게러지,2019-01-01,1년  11개월
,,복원달인,(주)에스시알엠,2017-08-20,3년  4개월
,,오토큐(AUTO Q),기아자동차(주),2006-11-13,14년  1개월
,,세차라운지1944,만호CS,--,0년  0개월
,,티앤씨자동차외형복원,티앤씨자동차외형복원,2012-10-01,8년  2개월
,,오토카지(Autocarz),(주)오토카지,--,0년  0개월
,,카포스,한국자동차전문정비사업조합연합회,2011-08-31,9년  4개월
,,ECO CLEAN,(주)에코클린,2020-04-27,0년  8개월
,,수파가드(Supagard),동화피앤디,--,0년  0개월
,,autoOasis(오토오아시스),지에스엠비즈(주),2003-11-21,17년  1개월
,,쌔카스팀세차,(주)쌔카에스,2015-07-24,5년  5개월
,,플레이앤드,플레이앤드,2015-04-23,5년  8개월
,,공임나라,(주)자동차공임나라,2015-03-26,5년  9개월
,,글로벌자동차유리,(주)지에이엠지,2017-05-01,3년  7개월
,,카핏,(주)글로씨,--,0년  0개월
,,1991모터스,1991모터스,2020-02-28,0년  10개월
,,내차를부탁해,내차를부탁해,2014-11-13,6년  1개월
,,SPEEDMATE,SK네트웍스(주),1993-03-11,27년  9개월
,PC방,평균,-,-,4년  10개월
,,아이센스PC방,(주)아이센스에프앤씨,2011-01-28,9년  11개월
,,라이또PC방,(주)라이또에프앤씨,2016-12-31,4년  0개월
,,샹떼피시방,(주)참인포텍,2007-11-27,13년  1개월
,,스타덤PC,(주)포메이션투,2016-07-01,4년  5개월
,,맥스피드PC,(주)에스티피아이앤씨,2010-09-01,10년  3개월
,,피에스타PC방,(주)미라크,2014-02-17,6년  10개월
,,해피로PC,(주)휴링크에프씨,2013-03-01,7년  9개월
,,더캠프피씨방(더캠프PC방),(주)더캠프,2014-02-28,6년  10개월
,,탑플레이스피씨존(탑플레이스PCZONE),(주)탑플레이트에프씨,2016-08-24,4년  4개월
,,헌터피씨,(주)플랫폼즈,2015-10-08,5년  2개월
,,시즌아이피시(PC)방,(주)맥스원이링크,2005-09-24,15년  3개월
,,더엑스쿡PC방,(주)동보에프앤비,2018-04-04,2년  8개월
,,IRIS POP(아이리스팝),(주)쿠키소프트,2019-01-01,1년  11개월
,,크라우드PC방,(주)크라우드팩토리,2018-08-01,2년  4개월
,,제너스 PC,(주)도담에프앤비,2018-10-17,2년  2개월
,,스토리PC,(주)트라이앵글스토리,2014-05-01,6년  7개월
,,pc토랑,(주)토랑에프씨,2018-07-01,2년  5개월
,,크레인피씨(크레인PC),(주)아르떼에프앤씨,2017-08-25,3년  4개월
,,시그니처 아레나 PC방,(주)아레나,2018-07-05,2년  5개월
,,철구PC,(주)씨구파트너스,2018-03-15,2년  9개월
,,피디에스PC방,(주)씨와이에프앤씨,2017-09-15,3년  3개월
,,오셀롯(OCELOT),(주)놀숲,2018-02-12,2년  10개월
,,제로100피씨(ZERO100PC),부만사(주),2019-08-01,1년  4개월
,,크리드 PC,(주)크리드,2018-05-15,2년  7개월
,,에코스PC방,(유)에코에프엔씨,2018-01-11,2년  11개월
,,라이온시티피씨,(주)라이온에프지,2008-12-10,12년  0개월
,,플레이존PC,(주)이웍스커뮤니케이션,2017-02-14,3년  10개월
,,아이센스리그PC방,(주)아이센스에프앤씨,2018-10-16,2년  2개월
,,세븐스타PC방,(주)루센트,2018-11-26,2년  1개월
,,온스테이지PC,(주)휴링크에프씨,2020-04-28,0년  8개월
,,욜로PC방,(주)욜로에프앤씨,2019-12-22,1년  0개월
,,KSTAR PC CAFÉ (케이스타피씨카페),스타에프앤씨(주),2018-12-28,2년  0개월
,,아이센스리그PC방,㈜아이센스에프앤비,2017-04-28,3년  8개월
,,리얼피씨존(REAL PC ZONE),(주)리얼야구존,--,0년  0개월
,,쇼타임크루 PC COOK,(주)글로리아에프아이,--,0년  0개월
,,레드피씨존(RED PC ZONE),(주)팀에프지,2015-06-18,5년  6개월
,,고스트캐슬,(주)엔컴플러스,2003-03-15,17년  9개월
,,인디고 피씨 카페(INDIGO PC CAFE),(주)티앤지에프씨,2017-07-03,3년  5개월
,,셰프PC카페,(주)케이엠씨,--,0년  0개월
,,더토랑,(주)토랑에프씨,--,0년  0개월
,,3에스피씨(3S PC),(주)엠케이디엔씨,--,0년  0개월
,,제스트PC방,제스트에프씨(주),--,0년  0개월
,,쇼타임피시앤카페,(주)쇼타임글로벌,2017-08-14,3년  4개월
,,시즌원PC방,㈜더베스트,--,0년  0개월
,,글로버 PC랩,글로버,--,0년  0개월
,오락,평균,-,-,6년  7개월
,,세븐스타코인노래연습장,(주)루센트,2016-03-28,4년  9개월
,,락휴노래연습장,(주)대승인터컴,2007-10-01,13년  2개월
,,셜록홈즈,(주)언리얼컴퍼니,2016-10-01,4년  2개월
,,락휴노래타운,(주)대승인터컴,2010-06-21,10년  6개월
,,레드버튼(RedButton),(주)레드버튼,2015-11-25,5년  1개월
,,히어로보드게임카페,(주)펀코리아,2018-02-09,2년  10개월
,,홈즈앤루팡 보드게임카페,(주)홈즈앤루팡,2018-12-01,2년  0개월
,,아수라발발타,아수라발발타(주),2017-04-01,3년  8개월
,,정글비,정글비,2019-07-26,1년  5개월
,,오라구코인노래연습장,오라구,--,0년  0개월
,,브레이크아웃 이스케이프,(주)이스케이프랩,2016-10-20,4년  2개월
,,EVR 그라운드,(주)리앤팍스,--,0년  0개월
,,도어이스케이프,도어이스케이프,--,0년  0개월
,,수노래연습장,(주)우리모두브라보,2005-02-01,15년  10개월
,,슈퍼스타코인노래연습장,엔씨엔터(주),2014-09-30,6년  3개월
,,텐코인,텐에프씨,--,0년  0개월
,배달,평균,-,-,6년  3개월
,,퀵톡,(주)아이쿱스,2014-09-25,6년  3개월
,,담꾹,(주)디엔에프씨,--,0년  0개월
,,고래감자탕딜리버리,(주)디딤,--,0년  0개월
,,해장냉면,(주)디딤,--,0년  0개월
,,생활치킨,(주)데일리비어,--,0년  0개월
,,코리앗치킨딜리버리,(주)디딤,--,0년  0개월
,,번개두마리찜닭,(주)디딤,--,0년  0개월
,,육고수,(주)디딤,--,0년  0개월
,안경,평균,-,-,8년  8개월
,,오렌즈,(주)스타비젼,2012-03-22,8년  9개월
,,일공공일안경콘택트,(주)토마토디앤씨,1999-12-27,21년  0개월
,,렌즈미,(주)렌즈미,2012-08-03,8년  4개월
,,글라스스토리,(주)글라스스토리안경,2011-01-04,9년  11개월
,,안경매니져,(주)안경매니져,2005-11-14,15년  1개월
,,안경나라,(주)토마토디앤씨,1997-07-01,23년  5개월
,,안경박사,(주)안경박사,1997-07-24,23년  5개월
,,으뜸50안경,(주)으뜸50안경,2017-07-01,3년  5개월
,,으뜸플러스안경,플러스옵틱(주),2018-07-25,2년  5개월
,,아이피아,(주)안경매니져,2007-04-01,13년  8개월
,,렌즈타운,코코엘,2011-02-26,9년  10개월
,,아이젠트리(EYE GENTRY),아이젠트리(주),2011-10-17,9년  2개월
,,아이디어(Eyedear),(주)상상,2015-01-01,5년  11개월
,,씨채널,(주)안경매니져,2012-10-12,8년  2개월
,,아이데코,(주)지앤디,2014-07-11,6년  5개월
,,글라스박스(GLASSBOX),(주)글라스박스,2005-11-18,15년  1개월
,,K비젼안경,(주)케이비젼안경체인,2007-01-22,13년  11개월
,,시호비전(SEEHO VISION),(주)시호비전,2002-01-01,18년  11개월
,,세컨페이스,(주)젬인터네셔널,2014-07-01,6년  5개월
,,눈사랑안경,(주)프렌치아이,2017-05-17,3년  7개월
,,안경창고킹싸군,(주)이엔비코퍼레이션,2014-07-01,6년  5개월
,,렌즈맨안경원,(주)다이안옵티칼,2010-02-08,10년  10개월
,,아이패밀리,(주)이엔비코퍼레이션,2013-01-10,7년  11개월
,,글라스바바안경,(주)글라스바바안경체인,2011-08-10,9년  4개월
,,렌즈디바,(주)메인코리아,2015-07-09,5년  5개월
,,렌즈스토리,(주)글라스스토리안경,2010-02-03,10년  10개월
,,JINY's(지니스),(주)지니스안경체인,2020-04-25,0년  8개월
,,보다안경,보다안경(주),2015-09-17,5년  3개월
,,E안경(이안경),(주)이안경,2005-01-01,15년  11개월
,,갤러리안경,(주)갤러리안경,2013-12-06,7년  0개월
,,태극안경콘택트,(주)태극안경,2004-07-10,16년  5개월
,,렌즈나인(LENS NINE),(주)렌즈나인,2016-08-03,4년  4개월
,,아이세이버(EYESAVER),(주)아이세이버,2016-07-25,4년  5개월
,,씨채널,(주)씨채널,2020-04-28,0년  8개월
,,아이에비뉴,(주)엘앤씨에비뉴,2011-03-30,9년  9개월
,,탑클래스 안경체인(TOP CLAS2),(주)탑클래스안경체인,2018-09-27,2년  3개월
,,씨채널(See Channel),(주)토마토디앤씨,1997-05-19,23년  7개월
,,눈애편안,(주)상상,2005-10-22,15년  2개월
,,"안경,진정성",(주)안경진정성,2018-05-01,2년  7개월
,,라운드2(ROUND2),(주)프렌티스,2016-03-05,4년  9개월
,,웨이브안경원,(주)다이안옵티칼,2010-10-01,10년  2개월
,,원셀프안경콘택트,(주)원셀프안경,2013-07-10,7년  5개월
,,아이조아렌즈,(주)아이조아,2018-11-12,2년  1개월
,,파리글라스,(주)다이안옵티칼,2019-07-29,1년  5개월
,,블루페퍼(BLUE PEPPER),(주)블루페퍼,2019-03-07,1년  9개월
,,글라스스토리 (GLASS STORY),(주)안경매니져,--,0년  0개월
,,아이파인(EYE FINE),아이젠트리(주),--,0년  0개월
,,글라스월드,(주)글라스월드,--,0년  0개월
,,다비치안경,(주)다비치안경체인,2003-01-20,17년  11개월
,,글라스스토어,(주)글라스스토리안경,--,0년  0개월
,,글라스타,(주)라온비젼,--,0년  0개월
,,글라스미,(주)렌즈미,--,0년  0개월
,,렌즈스토리(LENS STORY),(주)안경매니져,--,0년  0개월
,,멀리바안경,아이젠트리(주),--,0년  0개월
,,스펙터,(주)제이엔에프아이티씨,2013-08-01,7년  4개월
,,룩옵티컬(LOOK Optical),(주)룩옵틱스,2011-04-01,9년  8개월
,,바라보다,(주)유아이글라스,2013-01-10,7년  11개월
,,I Love Lens (아이러브렌즈),(주)글라스스토리안경,2019-03-06,1년  9개월
,,안경369,(주)글라스바바안경체인,2020-04-25,0년  8개월
,,아이비스,(주)아이비스,2012-06-10,8년  6개월
,,온세일(onsail),(주)라온비젼,2020-06-08,0년  6개월
,,피콜로안경원,피콜로안경,2019-02-15,1년  10개월
,세탁,평균,-,-,8년  6개월
,,크린토피아,(주)크린토피아,1992-10-01,28년  2개월
,,월드크리닝,(주)월드크리닝,1999-04-01,21년  8개월
,,크린업24 빨래방,(주)유니룩스,2005-07-15,15년  5개월
,,크린위드,(주)월드씨앤에프,2010-02-22,10년  10개월
,,워시테리아,(주)스마트워시,2015-07-07,5년  5개월
,,위니아24크린샵,(주)위니아에이드,2017-09-05,3년  3개월
,,테라스크린,(주)테라스크린,2013-02-21,7년  10개월
,,백마크리닝R,(주)백마크리닝R,2018-11-02,2년  1개월
,,백마크리닝S,(주)백마크리닝S,2019-07-02,1년  5개월
,,세탁을위한사람들,(주)유성,2006-09-01,14년  3개월
,,세탁풍경,세탁풍경,2015-12-17,5년  0개월
,,크린시아,크린시아,2018-01-22,2년  11개월
,,백마크리닝,백마크리닝,2018-11-02,2년  1개월
,,하얀크리닝,하얀크리닝,2016-04-07,4년  8개월
,,하이크리닝,하이크리닝협동조합,2017-11-27,3년  1개월
,,화이트크리닝,화이트크리닝,2010-04-19,10년  8개월
,,크린캐츠세탁프리,(주)조이박스,2016-08-01,4년  4개월
,,크린플러스,(주)크린플러스,2006-06-23,14년  6개월
,,최정민과함께하는 크리닝마스터,크리닝마스터,2018-04-06,2년  8개월
,,새로산운동화,새로산운동화프랜차이즈,2010-05-03,10년  7개월
,,세탁쇼,(주)차렸다,2020-07-20,0년  5개월
,,세탁마을,엘림씨엔씨,2008-06-01,12년  6개월
,,워시아워(WASHHOUR),(주)클린스퀘어인터내셔널,--,0년  0개월
,,백마크리닝T,(주)백마크리닝티,--,0년  0개월
,,프로세탁러,찬스바이찬(주),--,0년  0개월
,,크린에이드,(주)크린에이드,1996-04-15,24년  8개월
,,신데렐라,(주)씨엘피코리아,--,0년  0개월
,,참좋은세탁소,(주)민트크린,2018-07-01,2년  5개월
,,크렌즈갤러리,(주)크린에이드,--,0년  0개월
,,클린 샘,샘랩(주),--,0년  0개월
,,월드크린,(주)월드크린,--,0년  0개월
,이사,평균,-,-,12년  8개월
,,예스2424,예스2424(주),2008-05-02,12년  7개월
,,예스2404,케이지비(주),2003-02-01,17년  10개월
,,케이지비(KGB),케이지비(주),1996-07-07,24년  5개월
,,통인익스프레스,(주)통인익스프레스,2014-05-20,6년  7개월
,,Ycap,예스2424(주),2011-12-01,9년  0개월
,,드림하이 익스프레스,디에이치익스프레스(주),--,0년  0개월
,운송,평균,-,-,4년  5개월
,,마카롱택시,(주)케이에스티모빌리티,2019-04-15,1년  8개월
,,카카오T블루,(주)디지티모빌리티,2019-11-09,1년  1개월
,,인익스프레스(INXPRESS),(주)인익스프레스코리아,2018-12-04,2년  0개월
,,반반택시,(주)코나투스,--,0년  0개월
,,인천콜,(주)스마트인천콜,2012-02-23,8년  10개월
,,토마토모빌리티,(주)리라소프트,--,0년  0개월
,,유모스탭(UMOS TAP),(주)코드42,--,0년  0개월
,,다트,다트쉐어링(주),2020-03-02,0년  9개월
,,세븐콜,(주)세븐콜택시,2011-09-01,9년  3개월
,,로카(LOCAR),(주)스타릭스,2020-04-17,0년  8개월
,,나비콜,(주)나비콜,--,0년  0개월
,,우버택시(Uber Taxi),우버코리아테크놀로지(유),--,0년  0개월
,,코리아 택시(KOREA TAXI),(주)리싱,--,0년  0개월
,,아이엠(i.M),㈜진모빌리티,--,0년  0개월
,반려동물,평균,-,-,5년  7개월
,,야옹아멍멍해봐,(주)야옹아멍멍해봐,2015-05-10,5년  7개월
,,쿨펫동물병원,(주)쿨펫,2003-10-16,17년  2개월
,,폴리파크,(주)포파코,2012-11-02,8년  1개월
,,러브펫멀티펫샵,(주)러브펫코리아,2013-07-17,7년  5개월
,,아이러브펫동물병원,(주)위즈펫,2013-08-26,7년  4개월
,,유;폴(U;POL),유폴,2019-06-26,1년  6개월
,,낭만고양이,낭만고양이본점,2017-07-17,3년  5개월
,,온누리동물병원,(주)온누리펫,2016-06-15,4년  6개월
,,렙타일정글,렙타일정글(ReptileJungle),2016-05-14,4년  7개월
,,위즈펫동물병원,(주)위즈펫,2012-08-01,8년  4개월
,,서울퍼피,서울퍼피,2009-05-12,11년  7개월
,,라이프독,라이프독,2018-10-25,2년  2개월
,,비쇼네,씨케이컴퍼니,2016-09-30,4년  3개월
,,폴리파크플러스,(주)포파코,--,0년  0개월
,,퍼피솔루션,모들카페,--,0년  0개월
,,리츠펫(ritzpet),(주)바바코리아,--,0년  0개월
,,마이리틀프렌드,(주)마이리틀프렌드,2016-07-27,4년  5개월
,,겟풀(GETPOOL),(주)탐앤탐스,--,0년  0개월
,,브이케어,주식히사펫닥,2020-02-20,0년  10개월
,,올리스,올리스24,--,0년  0개월
,,야옹아놀자,야옹아놀자,2019-05-01,1년  7개월
,,이리온,우리와(주),2011-09-26,9년  3개월
,,미어캣파크,(주)더만듦,2017-12-01,3년  0개월
,,반생,(주)밸리스,--,0년  0개월
,,어라운드펫,(주)케이앤피어라운드(K&PAROUND),--,0년  0개월
,,도그베이,(주)애견컴퍼니,2018-05-23,2년  7개월
,,털로덮인친구들,주식화사반려동물,--,0년  0개월
,약국,평균,-,-,26년  0개월
,,온누리약국,(주)온누리에이치엔씨,1991-10-27,29년  2개월
,,메디팜,"메디팜(주)(MEDIPHARMCO.,LTD)",1993-10-18,27년  2개월
,,옵티마,(주)옵티마케어,1999-02-10,21년  10개월
,,파란문약국,(주)파란문약국프랜차이즈,--,0년  0개월
,인력파견,평균,-,-,9년  2개월
,,해피케어,(주)해피케어,2011-12-30,9년  0개월
,,참사랑어머니회산후도우미,(주)참사랑씨앤이,1998-01-01,22년  11개월
,,덤인,(주)덤인,2012-12-27,8년  0개월
,,조은맘,조은맘산후도우미,2017-03-02,3년  9개월
,,도담도담 산후도우미,도담도담맘&베이비홈케어,2016-10-18,4년  2개월
,,위드맘케어,(주)위드맘케어,2017-11-18,3년  1개월
,,참사랑그린가가정관리사,(주)참사랑씨앤이,2012-03-15,8년  9개월
,,참사랑어머니회베이비시터,(주)참사랑씨앤이,1998-01-01,22년  11개월
,,시니어스초이스(Seniors Choice),(주)시니어케어24,2019-01-01,1년  11개월
,,위더스산후케어,위더스산후케어,2018-08-10,2년  4개월
,,해와달출장산후조리,(본점)해와달출장산후조리,2006-08-08,14년  4개월
,,봄빛베스트,봄빛베스트,--,0년  0개월
,,시니어케어24(Senior Care24),(주)시니어케어24,--,0년  0개월
,,엔젤스맘,엔젤스맘,--,0년  0개월
,,이레아이맘,이레아이맘평생교육원,2012-07-26,8년  5개월
,,닥터맘 산모도우미,닥터맘앤닥터베베,2011-02-01,9년  10개월
,기타서비스,평균,-,-,5년  4개월
,,작심,(주)아이엔지스토리,2016-06-10,4년  6개월
,,놀숲,(주)놀숲,2015-11-04,5년  1개월
,,더풋샵(THE FOOT SHOP),(주)더풋샵컴퍼니,2007-10-18,13년  2개월
,,르하임스터디카페,(주)르하임,2018-03-08,2년  9개월
,,ScentOn(센트온),(주)센트온,2002-01-25,18년  11개월
,,깔끄미계단,(주)깔끄미크린하우스,2006-07-09,14년  5개월
,,클린앤제이,(주)클린앤제이,2014-02-11,6년  10개월
,,미스터힐링,(주)미스터즈,2015-06-15,5년  6개월
,,비지팅엔젤스,(주)비지팅엔젤스코리아,2008-07-01,12년  5개월
,,어드벤처피아노,(주)에듀프라임,2006-06-22,14년  6개월
,,커피랑도서관,커피랑도서관(주),2014-09-15,6년  3개월
,,커피랑도서관,커피랑도서관(주),2014-09-15,6년  3개월
,,아리아케어 방문요양센터,(주)아리아케어코리아,2017-05-22,3년  7개월
,,아리아케어 방문요양센터,(주)아리아케어코리아,2017-05-22,3년  7개월
,,아리아케어 방문요양센터,(주)아리아케어코리아,2017-05-22,3년  7개월
,,아리아케어 방문요양센터,(주)아리아케어코리아,2017-05-22,3년  7개월
,,이노티안경,(주)이노티,2002-10-31,18년  2개월
,,개미인력개발,개미인력개발(주),2006-07-20,14년  5개월
,,크린파트너,크린파트너본사,2010-05-03,10년  7개월
,,플랜A,(주)아지오디자인,2017-01-01,3년  11개월
,,카카오T블루(kakaoTblue),(주)케이엠솔루션,2018-09-13,2년  3개월
,,화이트셀프빨래방,인화이트,2006-07-13,14년  5개월
,,어라운드스터디카페(A.round study cafe),(주)어라운드에이치큐(HQ),2018-04-01,2년  8개월
,,엔젤스 코인노래연습장,(주)유니어스에프엔씨,2017-01-21,3년  11개월
,,바이오미스트,(주)바이오미스트테크놀로지,1996-07-01,24년  5개월
,,그루스터디센터,(주)루센트,2018-08-31,2년  4개월
,,아나덴,(주)르하임비앤에스,2018-10-26,2년  2개월
,,작심스터디카페,(주)아이엔지스토리,2017-05-19,3년  7개월
,,블록피아,(주)블록피아교육,2007-12-14,13년  0개월
,,스포키즈,(주)아이오로라,2017-10-01,3년  2개월
,,키즈닥터,키즈닥터코리아(주),2013-10-01,7년  2개월
,,위넌스터디카페,(주)위넌,2020-04-23,0년  8개월
,,르호봇,(주)르호봇비즈니스인큐베이터,1999-06-10,21년  6개월
,,다지음,(주)다지음,2014-09-13,6년  3개월
,,오케타니,(주)닥터조앤리,2016-05-02,4년  7개월
,,클린보이,씨비케이엔터프라이즈(주),2014-03-01,6년  9개월
,,별밤지기,(주)한음,2007-05-03,13년  7개월
,,루쏘소,(주)루쏘소에프앤에프,2007-09-16,13년  3개월
,,CHOSIM(초심),(주)아이센스티앤씨,2018-11-01,2년  1개월
,,케이팝스타코인노래방,(주)태진전자시스템,2016-11-10,4년  1개월
,,키즈카페릴리펏(Lilliput),(주)릴리펏,2014-06-11,6년  6개월
,,친정맘산후도우미,친정맘산후도우미,2010-06-01,10년  6개월
,,하우스터디스터디카페,(주)하우스터디,2019-02-14,1년  10개월
,,플레이(pley),(주)플리스터,2017-03-04,3년  9개월
,,공간샘스터디카페,샘랩(주),2018-02-02,2년  10개월
,,북카페심심푸리,(주)비에스에프앤비,2016-04-15,4년  8개월
,,하우스터디,(주)하우스터디,2017-02-15,3년  10개월
,,아이미래로,미래앤꿈,2018-08-14,2년  4개월
,,칼라시대(COLORSIDAE),(주)칼라시대,2007-08-23,13년  4개월
,,토즈(TOZ),(주)피투피시스템즈,2003-11-29,17년  1개월
,,핸디맨닥터,(주)핸디맨닥터,2011-02-28,9년  10개월
,,짱오락실,(주)짱,2016-11-10,4년  1개월
,,주니아빠,관우홈케어,2019-09-07,1년  3개월
,,공부인 스터디카페,공부인스터디카페가맹본부,2019-02-11,1년  10개월
,,타임유 스터디카페,타임유,2018-12-15,2년  0개월
,,베이비파스텔스튜디오,㈜파스텔,2015-08-05,5년  4개월
,,점핑몬스터,(주)루치아컴퍼니,2018-06-28,2년  6개월
,,21세기하우징,(주)21세기하우징,2009-01-22,11년  11개월
,,비허밍스터디카페,(주)패스네이트,2019-01-31,1년  11개월
,,벨킨스(VELKINS),(주)벨킨스,2011-10-18,9년  2개월
,,올나노,(주)아이메이드,2016-05-01,4년  7개월
,,KT콜택시,KT콜택시.효진,2009-11-13,11년  1개월
,,마스터키,(주)엠케이컴퍼니,2016-04-05,4년  8개월
,,멘토즈,(주)공간몬스터,2019-09-20,1년  3개월
,,포텐스터디카페,포텐스터디카페(4TEN),2018-07-21,2년  5개월
,,에스엠천사,(주)에스엠천사,2004-05-03,16년  7개월
,,촘촘망,(주)텍스토머,2015-04-01,5년  8개월
,,산모피아,(주)산모피아,2005-10-12,15년  2개월
,,봉봉키즈,(주)봉봉코리아,2016-08-22,4년  4개월
,,통툰,(주)함백아이엔씨,2017-04-11,3년  8개월
,,드림앤가(드림&가),드림가,2016-08-03,4년  4개월
,,황금빗자루,황금빗자루,2017-03-05,3년  9개월
,,크린빌세탁,크린빌세탁,2016-04-08,4년  8개월
,,하트맘케어(Heartmamcare),하트맘케어,2016-07-01,4년  5개월
,,스마트데이터복구,(주)스마트데이터복구에스디알,2019-12-23,1년  0개월
,,사랑마루,(주)사랑마루,2006-07-20,14년  5개월
,,더공간스터디카페,(주)더공간,2017-06-01,3년  6개월
,,인스케어,(주)인스케어코어,2009-09-01,11년  3개월
,,모던필라테스 대구경북지부,(주)모던필라테스,2010-11-05,10년  1개월
,,아이에이이유학네트,에듀하우스(주),1996-08-21,24년  4개월
,,방구방역,방구방역,2017-10-28,3년  2개월
,,홀릭스터디카페,홀릭스터디카페,2018-12-21,2년  0개월
,,인스&슬라임,(주)더캠트사업본부,2018-12-18,2년  0개월
,,심리카페멘토,(주)느린마을멘토,2017-02-14,3년  10개월
,,폰케이스몰,(주)씨엠,2011-06-25,9년  6개월
,,화이트펜슬(white pencil),(주)네오플레너스,2019-04-25,1년  8개월
,,셀디(SELDY),(주)셀디,2018-06-01,2년  6개월
,,스터디카페공간,(주)하드투포겟공간,2018-05-12,2년  7개월
,,한양아이소리,(주)한양아이소리,2016-04-28,4년  8개월
,,젠요가,(주)젠요가,2014-05-14,6년  7개월
,,오락카페,(주)패밀리존,2016-12-20,4년  0개월
,,비즈온,비즈앤택스(주),2014-04-21,6년  8개월
,,헬로스마일(HELLOSMILE),(주)헬로스마일,2015-09-16,5년  3개월
,,디아망,㈜네오플레너스,2017-05-25,3년  7개월
,,우렁각시,라이프매직케어협동조합,2018-05-11,2년  7개월
,,크라스플러스(cras+),(주)굿디자인플랜,2014-12-17,6년  0개월
,,HOTELIV,(주)이웃벤처,2018-09-27,2년  3개월
,,키네스성장센터,(주)키네스,2004-06-30,16년  6개월
,,해피헬퍼,(주)해피케어,2012-08-25,8년  4개월
,,더하노이풋앤바디,(주)더하노이,2019-05-31,1년  7개월
,,씨엔티 스터디센터,씨엔티테크(주),2016-12-23,4년  0개월
,,슈가맨워크,㈜슈가맨워크,2018-10-19,2년  2개월
,,참손길,참손길공동체협동조합,2015-11-06,5년  1개월
,,INTO STUDY PLACE(인토스터디플레이스),(주)인토에스디,2019-04-11,1년  8개월
,,브레인트레이닝상담센터,(주)브레인트레이닝센터,2014-04-02,6년  8개월
,,서당 스터디라운지,(주)서당,2019-03-01,1년  9개월
,,쉼스파,(주)씨엠에이인터내셔널,2009-03-03,11년  9개월
,,코인락스타노래연습장,(주)라이온에프지,2017-02-12,3년  10개월
,,이제마스터디카페,제로쉐도우(주),2019-10-03,1년  2개월
,,아리엘키퍼,아리엘협동조합,2019-12-31,1년  0개월
,,스타간판,스타간판,2018-04-23,2년  8개월
,,바로연,(주)바로연결혼정보,2008-01-30,12년  11개월
,,오감키즈카페 꼼지락,꼼지락,2018-07-03,2년  5개월
,,슈퍼스타트,(주)슈퍼스타트,2016-06-01,4년  6개월
,,지투존(G2ZONE),(주)글로벌이노베이션,2016-08-31,4년  4개월
,,해피베이비,(주)해피비즈라이프,2014-12-02,6년  0개월
,,이스케이프탑,(주)이스케이프탑,2018-12-01,2년  0개월
,,버그헌터119,버그헌터119,2017-08-01,3년  4개월
,,더놀다,슬라임더놀다,2019-04-16,1년  8개월
,,왁싱랩,왁싱랩코리아,2018-03-02,2년  9개월
,,내맘엔심리상담,(주)마인드엔(MindN),2015-06-01,5년  6개월
,,탑플라이트 스터디카페,탑플라이트(주),2018-10-10,2년  2개월
,,나노플렉스(Nanoflex),(주)오픈코리아,2019-07-01,1년  5개월
,,골든스터디카페,(주)에이치제이리치컴퍼니,2018-10-29,2년  2개월
,,리게인스터디카페,(주)함백아이엔씨,2019-08-09,1년  4개월
,,우리함께 주간보호센터,(주)마이아이덴티티,2019-01-26,1년  11개월
,,빚다도예공방,빚다,2011-06-20,9년  6개월
,,스터디박스,집중스터디카페,2019-07-15,1년  5개월
,,힐링엔젤스,(주)에이치에이엔,2019-10-01,1년  2개월
,,비지팅엔젤스 주야간보호,(주)비지팅엔젤스코리아,2015-06-02,5년  6개월
,,코인몬스터,(주)맥스원이링크,2019-09-28,1년  3개월
,,수파두파,투플레이컴퍼니(주),2016-05-30,4년  7개월
,,포니모니뮤지컬,(주)포니모니뮤직,2018-03-02,2년  9개월
,,아리아케어 주야간보호센터,(주)아리아케어코리아,2020-03-09,0년  9개월
,,휴렉(HULEC),(주)휴렉,2018-08-01,2년  4개월
,,하운스스터디카페,하운스스터디카페가맹본부,2018-12-24,2년  0개월
,,유해피심리상담센타,유해피,2014-07-30,6년  5개월
,,아리아케어 주야간보호센터,(주)아리아케어코리아,2020-03-09,0년  9개월
,,성수미술관,성수미술관,2019-04-24,1년  8개월
,,아리아케어 주야간보호센터,(주)아리아케어코리아,2020-03-09,0년  9개월
,,아리아케어 주야간보호센터,(주)아리아케어코리아,2020-03-09,0년  9개월
,,뮤피아,(주)뮤피아엔터테인먼트,2018-01-12,2년  11개월
,,더라이브러리 The Library,(주)더라이브러리,2019-08-01,1년  4개월
,,모혜성산후도우미,(주)모혜성,2016-11-30,4년  1개월
,,예찬365일데이케어,예찬아이엔씨,2014-06-13,6년  6개월
,,HR인(에이치알인),(주)에이치알심리상담센터,2019-10-01,1년  2개월
