업종(대),업종(중),브랜드,상호,가맹사업 개시일,가맹사업 년수
,,에듀플렉스,넥스큐브코퍼레이션(주),2004-01-01,16년  11개월
,,머리에그리는홍선생미술,(주)홍선생교육,2002-05-13,18년  7개월
,,에듀코치,넥스큐브코퍼레이션(주),2011-09-01,9년  3개월
,,영렘브란트,(주)아트크레오,2007-02-21,13년  10개월
,,뮤직뮤직,뮤직뮤직,2012-06-14,8년  6개월
,,아이지미술,(주)한국방송영재교육원,2003-06-21,17년  6개월
,,아트모마,에스투(주),2015-09-01,5년  3개월
,,책나무,책나무,2010-07-01,10년  5개월
,,어린화가들,주은교육(주),2015-05-01,5년  7개월
,,한국치매예방협회,(주)한국치매예방협회,2019-08-27,1년  4개월
,,리브로아르츠,리브로아르츠,2015-07-20,5년  5개월
,,샘앤클래스(Sam&Class),(주)오르다코리아,2014-11-28,6년  1개월
,,루트원,(주)오메가포인트,2013-12-01,7년  0개월
,,아랑고고장구,(주)아랑,2017-07-22,3년  5개월
,,요미요미(YOMIyomi),(주)요미요미,2014-02-06,6년  10개월
,,브레인스쿨,(주)한솔교육,2003-09-01,17년  3개월
,,플래뮤아트센터,(주)플래뮤,2010-04-01,10년  8개월
,,디플레이스(DPLACE),(주)디플레이스,2017-07-21,3년  5개월
,,위드피아노,위드피아노(주),2017-09-25,3년  3개월
,,아이꼬모 디자인미술,도서출판goodbook(굿북),2016-03-25,4년  9개월
,,코앤코뮤직,(주)코앤코,2004-03-02,16년  9개월
,,자라다남아미술학원,(주)자라다교육,2010-08-20,10년  4개월
,,조이스감성미술학원,조이스감성미술학원,2014-09-01,6년  3개월
,,시작라이브러리,(주)스탠다드메이커,2016-11-14,4년  1개월
,,와이키즈,(주)창의와탐구,2011-09-01,9년  3개월
,,샘앤플레이스(Sam&Place),(주)오르다코리아,2014-12-15,6년  0개월
,,박선생 창의역사지리교실,박선생창의역사지리교실(주),2006-09-07,14년  3개월
,,관리형프리미엄독서실잇올,(주)잇올,2017-04-10,3년  8개월
,,타우요가,(주)타우요가,2017-03-16,3년  9개월
