업종(대),업종(중),브랜드,상호,가맹사업 개시일,가맹사업 년수
,,펫클럽,(주)펫클럽,2014-03-14,6년  9개월
,,텃밭,(주)텃밭,2001-06-01,19년  6개월
,,싸군Market,싸군마켓,2019-09-20,1년  3개월
,,게이트원 스터디카페,(주)에이와그라운드,2020-04-01,0년  8개월
,,롯데슈퍼,롯데쇼핑(주),2010-05-13,10년  7개월
,,수수아비(B),(주)바구니,--,0년  0개월
,,어반리빙,우리디자인,--,0년  0개월
,,롯데마켓999(LOTTE market999),롯데쇼핑(주),2011-10-24,9년  2개월
,,애니멀고,(주)애니멀고,--,0년  0개월
,,랄라블라,(주)지에스리테일,2017-12-31,3년  0개월
,,삼촌네슈퍼마켓,삼촌네협동조합,--,0년  0개월
,기타도소매,평균,-,-,7년  8개월
,,롯데칠성음료,롯데칠성음료(주),2010-03-15,10년  9개월
,,알파,알파(주),1989-12-16,31년  0개월
,,다이소,(주)아성다이소,2001-09-01,19년  3개월
,,풀무원녹즙,㈜풀무원녹즙,1995-05-29,25년  7개월
,,드림디포,(주)드림디포,2001-02-12,19년  10개월
,,풀무원(냉장),풀무원식품(주),1990-06-01,30년  6개월
,,풀무원샘물,풀무원샘물(주),1986-11-07,34년  1개월
,,자연드림,(주)농업법인쿱스토어,2006-09-08,14년  3개월
,,풀무원(냉동),풀무원식품(주),1990-06-01,30년  6개월
,,풀무원로하스,풀무원건강생활(주),1995-05-29,25년  7개월
,,떡보의하루,(주)떡파는사람들,2002-03-21,18년  9개월
,,오레시피,(주)도들샘,2012-01-02,8년  11개월
,,참다한홍삼,(주)지씨바이오,2013-08-07,7년  4개월
,,오피스디포(Office DEPOT),(주)오피스디포코리아,1999-01-15,21년  11개월
,,YANKEE CANDLE(양키캔들),(주)아로마무역,2012-10-31,8년  2개월
,,드림오피스,(주)드림오피스,1999-07-01,21년  5개월
,,푸드머스(KIDS),(주)푸드머스,2004-04-01,16년  8개월
,,국선생,(주)홈스푸드,2013-05-08,7년  7개월
,,이원건강의료기,(주)이원건강의료기,2003-10-08,17년  2개월
,,푸드머스(SL),(주)푸드머스,2004-04-01,16년  8개월
,,펫마트,(주)선진펫,2016-05-03,4년  7개월
,,골드쉘,(주)한국금거래소쓰리엠,2012-04-23,8년  8개월
,,코코래빗,코코래빗,2013-04-01,7년  8개월
,,델리퀸,(주)델리퀸,2011-08-15,9년  4개월
,,오피스웨이,(주)오피스디포코리아,2004-01-01,16년  11개월
,,오피스웨이,㈜오피스디포코리아,2004-01-01,16년  11개월
,,오피스넥스(officenex),(주)오피스넥스,2000-08-16,20년  4개월
,,소녀폰중고폰,(주)케이에이씨,2015-11-01,5년  1개월
,,슈올즈,(주)슈올즈,2016-12-16,4년  0개월
,,아프리카(AFRICA),(주)아프리카,2013-11-22,7년  1개월
,,내추럴하우스바이올가,(주)올가홀푸드,2012-10-19,8년  2개월
,,미니골드,(주)혼,1996-01-17,24년  11개월
,,오피스알파,알파(주),2012-06-01,8년  6개월
,,오렌지팟,에프지파아란,2009-01-28,11년  11개월
,,썬라이더(SUNRIDER),썬라이더코리아(주),2009-02-01,11년  10개월
,,스위스,(주)보화스위스,2013-06-25,7년  6개월
,,수재샵,(주)수재,2017-08-01,3년  4개월
,,모든오피스,(주)모든오피스,2006-12-07,14년  0개월
,,현미박사누룽지,(주)보광유니온,2017-01-05,3년  11개월
,,엔진마을,엔진마을,2009-01-01,11년  11개월
,,망고케이스,비욘드텔레콤(주),2012-03-13,8년  9개월
,,노브랜드,(주)이마트,2019-04-25,1년  8개월
,,아이꿈터,(주)아이꿈터,2003-11-15,17년  1개월
,,푸드머스(Health & Care),(주)푸드머스,2017-08-25,3년  4개월
,,롤로 토바코 샵,원앤유컴퍼니(주),2019-08-01,1년  4개월
,,이마트에브리데이,(주)이마트에브리데이,2014-01-03,6년  11개월
,,오피스큐(OFFICEQ),(주)오피스큐,2006-12-10,14년  0개월
,,모나미스테이션,(주)모나미,2007-12-18,13년  0개월
,,쑥뜸명가코리아,(주)쑥뜸명가코리아,2017-04-05,3년  8개월
,,푸른아이웨어,(주)푸른아이웨어,2013-02-01,7년  10개월
,,닭찬들마켓,(주)모하계,2019-10-04,1년  2개월
,,판다팜,(주)판다팜,2018-01-01,2년  11개월
,,링코,(주)링코제일,2005-04-18,15년  8개월
,,캠핑트렁크,(주)더캠트,2017-12-04,3년  0개월
,,캠핑고래,(주)캠핑고래,2019-09-01,1년  3개월
