브랜드,상호,창업비용
떡공방다락,떡공방다락,"168,900
(0.55)"
새싹정원,(주)씨티오푸드인터내셔날,"168,500
(0.54)"
돼지만,찰만f&c,"168,000
(0.54)"
한신포차,(주)더본코리아,"167,330
(0.54)"
육쌈냉면,(주)육쌈,"167,280
(0.54)"
원청담면옥,(주)원두프,"167,200
(0.54)"
봉대박찜닭,(주)에프씨봉대박,"166,950
(0.54)"
구어찌,(주)제이푸드,"166,700
(0.54)"
소도둑,(주)와이비케이홀딩스,"166,200
(0.54)"
산들바람,(주)강산면옥,"166,150
(0.54)"
유가네 한우곰탕,(주)유가네,"166,100
(0.54)"
곽만근갈비탕,(주)곽푸드에프씨,"166,040
(0.54)"
개미집,(주)낙지볶음개미집,"166,000
(0.54)"
뼈큰감자탕,(주)뚝심푸드,"164,500
(0.53)"
청와삼대,(주)봄봄,"164,200
(0.53)"
팔당냉면,농업회사법인푸드앤소울(주),"164,150
(0.53)"
곽만근갈비탕이야기,(주)곽푸드에프씨,"164,040
(0.53)"
한옥집김치찜,(주)한옥집에이치큐,"164,000
(0.53)"
화사랑화로구이,(주)에프엘푸드시스템,"163,950
(0.53)"
영하당감자탕,(주)영하,"162,900
(0.53)"
알찬하루,알찬하루,"162,850
(0.53)"
쌈촌,(주)쌈촌패밀리,"162,800
(0.53)"
마마쿡(MAMACOOK),(주)제이에스드림,"162,570
(0.52)"
무한리필통큰소,(주)통큰가족,"162,300
(0.52)"
오늘한점,(주)우용에프앤비,"162,295
(0.52)"
해양산,해양산,"162,268
(0.52)"
일산오골계숯불구이,일산오골계숯불구이,"162,030
(0.52)"
예향정,"(주)디케이코리아(D.KKOREACo.,LTD)","162,000
(0.52)"
스톤 336,(주)디딤돌푸드시스템,"161,400
(0.52)"
하솜면가 육전메밀,(주)하솜면가,"161,238
(0.52)"
마중물추어탕,마중물추어탕,"161,200
(0.52)"
강가네해물섞어찜,강가네해물섞어찜대방점,"161,150
(0.52)"
삼화식당1972,(주)고릴라에프앤디,"160,815
(0.52)"
도토리편백집,(주)에이컨,"160,500
(0.52)"
한쌈대패,한쌈대패,"160,190
(0.52)"
만복한쭈꾸미낙지볶음,만복이쭈꾸미낙지볶음,"160,100
(0.52)"
맛나감자탕,리브가푸드시스템(주),"159,900
(0.52)"
곱돌이곱창,(주)지디프랜차이즈,"159,600
(0.52)"
마포선장,(주)가족푸드,"159,550
(0.51)"
장가네 일품순두부,(주)일품순두부,"159,100
(0.51)"
드림숯불갈비,농업회사법인(유)두레,"159,000
(0.51)"
남강메기,(주)남강푸드시스템,"158,200
(0.51)"
바보형제쭈꾸미,(주)바보형제스토리,"157,950
(0.51)"
경복궁개성손만두,서울물류,"157,900
(0.51)"
박수연의 국가1등 삼겹대패,국가대패,"157,900
(0.51)"
하남돼지집,(주)하남에프앤비,"157,500
(0.51)"
더나은마을회관,(주)더나은에프앤디,"157,400
(0.51)"
낭만쭈꾸미,(주)낭만연구소,"157,300
(0.51)"
꾸지뽕숯불갈비,(주)유니버셜그룹,"157,100
(0.51)"
꾸지뽕 양념 숯불갈비,천사꾸지뽕무한리필,"157,100
(0.51)"
심동보의언양불고기와육회,누렁소숯불,"156,900
(0.51)"
하루방뒷고기,(주)첨성대,"156,850
(0.51)"
이서하 서하불고기,(주)이조푸드,"156,800
(0.51)"
비스트로 분당김치찜,(주)엘알디케이,"156,720
(0.51)"
놀부항아리갈비,(주)놀부,"156,719
(0.51)"
제주몬트락,(주)모닥홀딩스,"156,300
(0.50)"
