브랜드,상호,창업비용
무모한 초밥,무모한초밥,"41,720
(0.37)"
하루키야,(주)나눔코프레이션,"40,920
(0.36)"
용돈가츠,(주)나눔코프레이션,"40,920
(0.36)"
도도텐,(주)해든코리아,"40,710
(0.36)"
돈카와치,돈카와치돈까스앤우동,"39,500
(0.35)"
호미곶간,노르딕오션,"38,310
(0.34)"
Zip에서 참치,집에서참치,"33,350
(0.29)"
오산조은참치,(주)준쿡코리아,"32,250
(0.28)"
궁싸부의 일식당,김싸부의일식당평내호평점,"30,800
(0.27)"
미카코카레,(주)청년에프앤비,"29,615
(0.26)"
딜리셔스팩토리,(주)푸드팩토리즈,"23,980
(0.21)"
카츠백,백'S프랜차이즈,"21,450
(0.19)"
연어집,연어집중구점,"20,800
(0.18)"
바른모밀,오늘의Recipe,"15,706
(0.14)"
동경에서먹었던규동,(주)어반푸드랩,"0
(0.00)"
스시투어,스시투어,"0
(0.00)"
